clicked_items,customer_id,customer_name,number_of_line_items,order_datetime,order_number,ordered_products,promo_info
"[[""AVpfPEx61cnluZ0-gyT8"",""35""],[""AVpfuJ4pilAPnD_xhDyN"",""99""],[""AVpe6jFBilAPnD_xQxO3"",""61""],[""AVpfIODe1cnluZ0-eg35"",""50""]]",19476264,otbda outside the box digital agency4,5,01-08-2019 21:28,317568024,"{""id"":""AVpfuJ4pilAPnD_xhDyN"",""qty"":4,""curr"":""USD"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC1"",""unit"":""pcs"",""price"":994}","[{""promo_id"":0,""promo_qty"":3,""promo_disc"":0.04,""promo_item"":""AVpfMVD-ilAPnD_xW6bv""}]"
"[[""AVpfPEx61cnluZ0-gyT8"",""35""],[""AVpfuJ4pilAPnD_xhDyN"",""99""],[""AVpe6jFBilAPnD_xQxO3"",""61""],[""AVpfIODe1cnluZ0-eg35"",""50""]]",19476265,otbda outside the box digital agency4,5,01-08-2019 21:28,317568025,"{""id"":""AVpfuJ4pilAPnD_xhDyN"",""qty"":4,""curr"":""USD"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC1"",""unit"":""pcs"",""price"":994}","[{""promo_id"":0,""promo_qty"":3,""promo_disc"":0.04,""promo_item"":""AVpfMVD-ilAPnD_xW6bv""}]"
"[[""AVpfPEx61cnluZ0-gyT8"",""35""],[""AVpfuJ4pilAPnD_xhDyN"",""99""],[""AVpe6jFBilAPnD_xQxO3"",""61""],[""AVpfIODe1cnluZ0-eg35"",""50""]]",19476266,otbda outside the box digital agency4,5,01-08-2019 21:28,317568026,"{""id"":""AVpfuJ4pilAPnD_xhDyN"",""qty"":4,""curr"":""USD"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC1"",""unit"":""pcs"",""price"":994}","[{""promo_id"":0,""promo_qty"":3,""promo_disc"":0.04,""promo_item"":""AVpfMVD-ilAPnD_xW6bv""}]"
"[[""AVpfPEx61cnluZ0-gyT8"",""35""],[""AVpfuJ4pilAPnD_xhDyN"",""99""],[""AVpe6jFBilAPnD_xQxO3"",""61""],[""AVpfIODe1cnluZ0-eg35"",""50""]]",19476267,otbda outside the box digital agency4,5,01-08-2019 21:28,317568027,"{""id"":""AVpfuJ4pilAPnD_xhDyN"",""qty"":4,""curr"":""USD"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC1"",""unit"":""pcs"",""price"":994}","[{""promo_id"":0,""promo_qty"":3,""promo_disc"":0.04,""promo_item"":""AVpfMVD-ilAPnD_xW6bv""}]"
"[[""AVpjedgc1cnluZ0-W4NI"",""84""],[""AVpfMVD-ilAPnD_xW6bu"",""26""],[""AVpfCW42ilAPnD_xTj0y"",""15""]]",24774688,"advanced metal works, inc- amw precision and electronics",3,01-08-2019 10:27,317568028,"{""id"":""AVpfCW42ilAPnD_xTj0y"",""qty"":3,""curr"":""USD"",""name"":""CD-C600 5-Disc CD Changer"",""unit"":""pcs"",""price"":239}","[{""promo_id"":0,""promo_qty"":1,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpe48Es1cnluZ0-ZHZU"",""75""],[""AVpfeG5oilAPnD_xcTsG"",""35""],[""AVpfZaCp1cnluZ0-kDV9"",""81""]]",13721768,roper gmc buick subaru,2,01-08-2019 11:36,317568029,"{""id"":""AVpfZaCp1cnluZ0-kDV9"",""qty"":3,""curr"":""USD"",""name"":""15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)"",""unit"":""pcs"",""price"":129,""promotion_info"":{""promo_id"":1,""promo_qty"":3,""promo_disc"":0.05,""promo_item"":""AVpfZaCp1cnluZ0-kDV9""}}","[{""promo_id"":1,""promo_qty"":3,""promo_disc"":0.05,""promo_item"":""AVpfZaCp1cnluZ0-kDV9""}]"
"[[""AVpfIODe1cnluZ0-eg35"",""43""],[""AVpjedgc1cnluZ0-W4NI"",""93""],[""AVpfdBS41cnluZ0-lBIj"",""83""]]",12744134,"LASHER,  DAVID J",3,01-08-2019 11:46,317568030,"{""id"":""AVpfdBS41cnluZ0-lBIj"",""qty"":2,""curr"":""USD"",""name"":""Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121)"",""unit"":""pcs"",""price"":239}",[]
"[[""AVpfv62D1cnluZ0-qkPY"",""75""]]",22100013,arq electronics manufacturing services inc,1,01-08-2019 12:43,317568031,"{""id"":""AVpfv62D1cnluZ0-qkPY"",""qty"":1,""curr"":""USD"",""name"":""h.ear go Wireless Speaker (Cinnabar Red)"",""unit"":""pcs"",""price"":184}",[]
"[[""AVpfCmFjLJeJML431EzG"",""95""],[""AVpfvvEv1cnluZ0-qhEo"",""69""]]",3037810,digital lifestyle solutions,1,01-08-2019 13:28,317568032,"{""id"":""AVpfvvEv1cnluZ0-qhEo"",""qty"":7,""curr"":""USD"",""name"":""h.ear go Wireless Speaker (Viridian Blue)"",""unit"":""pcs"",""price"":184}",[]
"[[""AVphzZkJ1cnluZ0-Gkcq"",""15""],[""AVpfWxx7LJeJML437u-H"",""87""],[""AVpfm9HsilAPnD_xe7y2"",""44""],[""AVpfKEAuilAPnD_xWKpK"",""67""],[""AVwjhoD2v8e3D1O-nnNv"",""33""],[""AVpfCmFjLJeJML431EzG"",""22""],[""AVpio2wSilAPnD_xGGln"",""83""]]",13419197,fnbd,3,01-08-2019 13:32,317568033,"{""id"":""AVpio2wSilAPnD_xGGln"",""qty"":3,""curr"":""USD"",""name"":""CRX-322 CD Receiver"",""unit"":""pcs"",""price"":376}",[]
"[[""AVpfeG5oilAPnD_xcTsG"",""11""],[""AVpe7vER1cnluZ0-aJu7"",""28""],[""AVpgV_Dk1cnluZ0-0L_y"",""21""],[""AVpfvvEv1cnluZ0-qhEo"",""20""]]",12999178,"power electronics, inc.",2,01-08-2019 13:44,317568034,"{""id"":""AVpfvvEv1cnluZ0-qhEo"",""qty"":3,""curr"":""USD"",""name"":""h.ear go Wireless Speaker (Viridian Blue)"",""unit"":""pcs"",""price"":849}",[]
null,null,null,null,null,null,null,null
"[[""AVphVnUALJeJML43Zr9N"",""59""],[""AVpgIu4Q1cnluZ0-xBK-"",""69""],[""AVphVnUALJeJML43Zr9N"",""20""]]",22100013,arq electronics manufacturing services inc,2,01-08-2019 14:20,317568036,"{""id"":""AVphVnUALJeJML43Zr9N"",""qty"":2,""curr"":""USD"",""name"":""Details About Elpine 400w 5.25 Typee Coaxial 2way Car Speakers | Spe5000\"""",""unit"":""pcs"",""price"":56}",[]
"[[""AVpfpHOsLJeJML43BBoB"",""69""],[""AVpfMVD-ilAPnD_xW6bu"",""96""],[""AVqFXQH5nnc1JgDc3gBZ"",""37""],[""AVph8AfNLJeJML43gfng"",""17""]]",31499930,"THOMAS JR,  RUFUS M",3,01-08-2019 14:29,317568037,"{""id"":""AVph8AfNLJeJML43gfng"",""qty"":1,""curr"":""USD"",""name"":""Ankyo TXNR757 7.2 Channel Wireless A/V Receiver w/ HDCP2.2/HDR DTS _ Bluetooth"",""unit"":""pcs"",""price"":181}","[{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpfvr461cnluZ0-qgHR"",""74""],[""AVpfCW42ilAPnD_xTj0y"",""29""],[""AVpfIODe1cnluZ0-eg35"",""52""],[""AVpfuJ4pilAPnD_xhDyM"",""32""]]",22100013,arq electronics manufacturing services inc,3,01-08-2019 14:35,317568038,"{""id"":""AVpfuJ4pilAPnD_xhDyM"",""qty"":1,""curr"":""USD"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC"",""unit"":""pcs"",""price"":448}",[]
"[[""AVpe7V2GLJeJML43yfVz"",""35""]]",17728997,helios electronics limited,1,01-08-2019 14:46,317568039,"{""id"":""AVpe7V2GLJeJML43yfVz"",""qty"":3,""curr"":""USD"",""name"":""Karsair - AX760 760-Watt ATX Power Supply - Black"",""unit"":""pcs"",""price"":169}",[]
"[[""AVpfdBS41cnluZ0-lBIj"",""96""],[""AVpfuJ4pilAPnD_xhDyM"",""11""],[""AVqkEzW9U2_QcyX9O0Gr"",""10""],[""AVpiMIyE1cnluZ0-K0TA"",""48""]]",25263091,"YOUNG,  AHMED",2,01-08-2019 16:20,317568040,"{""id"":""AVpiMIyE1cnluZ0-K0TA"",""qty"":3,""curr"":""USD"",""name"":""Elpine - Rear View Camera - Black"",""unit"":""pcs"",""price"":147}",[]
"[[""AVpfFAfQilAPnD_xUdv6"",""55""],[""AVpft3YCilAPnD_xg-CP"",""63""],[""AVpfm9HsilAPnD_xe7y2"",""72""],[""AVpfUsrxLJeJML437Ezd"",""14""],[""AVqkEzW9U2_QcyX9O0Gr"",""23""]]",16995374,hound dog digital marketing agency,2,01-08-2019 16:24,317568041,"{""id"":""AVqkEzW9U2_QcyX9O0Gr"",""qty"":2,""curr"":""USD"",""name"":""Reagate - Backup Plus 5TB External USB 3.0 Portable Hard Drive - silver"",""unit"":""pcs"",""price"":147}",[]
"[[""AVpiTWaA1cnluZ0-L8i9"",""35""],[""AVpffrToLJeJML43-M2g"",""74""],[""AVpffrToLJeJML43-M2g"",""12""]]",46949990,banta digital group,2,01-08-2019 16:58,317568042,"{""id"":""AVpffrToLJeJML43-M2g"",""qty"":2,""curr"":""USD"",""name"":""Elpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black\"""",""unit"":""pcs"",""price"":98}",[]
"[[""AVwjhoD2v8e3D1O-nnNv"",""35""],[""AVpgQP5vLJeJML43LQbd"",""70""],[""AVwjhoD2v8e3D1O-nnNv"",""43""],[""AVwjhoD2v8e3D1O-nnNv"",""48""],[""AVqVGaCCU2_QcyX9Ozcf"",""23""]]",16738781,"GALLARDO,  JOHN D",2,01-08-2019 18:39,317568043,"{""id"":""AVqVGaCCU2_QcyX9Ozcf"",""qty"":8,""curr"":""USD"",""name"":""15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)"",""unit"":""pcs"",""price"":376}",[]
"[[""AVqVGaEBv8e3D1O-ldFu"",""81""],[""AV1YFjNZglJLPUi8IGc8"",""19""],[""AVpfZaCp1cnluZ0-kDV9"",""83""],[""AVpfCmFjLJeJML431EzG"",""73""]]",3767344,digital graphic design,1,01-08-2019 18:58,317568044,"{""id"":""AVpfCmFjLJeJML431EzG"",""qty"":1,""curr"":""USD"",""name"":""Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures"",""unit"":""pcs"",""price"":48}",[]
"[[""AVpfSYlFLJeJML436UdP"",""70""],[""AVwjhoD2v8e3D1O-nnNv"",""49""],[""AVpi7IY9ilAPnD_xIvXb"",""33""],[""AVpfMVD-ilAPnD_xW6bu"",""25""],[""AVpffrToLJeJML43-M2g"",""50""],[""AVpio2wSilAPnD_xGGln"",""23""],[""AVphzZkJ1cnluZ0-Gkcq"",""40""]]",11137864,"unified digital group, llc",3,01-08-2019 20:06,317568045,"{""id"":""AVphzZkJ1cnluZ0-Gkcq"",""qty"":1,""curr"":""USD"",""name"":""Mannheiser - Earbud Headphones - Black"",""unit"":""pcs"",""price"":249}",[]
"[[""AVpiBT8VLJeJML43hWwi"",""98""],[""AVwjdOdov8e3D1O-nnK9"",""62""],[""AVpjedgc1cnluZ0-W4NI"",""63""],[""AVpiMIyE1cnluZ0-K0TA"",""43""]]",13861161,"individual digital, inc",3,01-08-2019 20:15,317568046,"{""id"":""AVpiMIyE1cnluZ0-K0TA"",""qty"":5,""curr"":""USD"",""name"":""Elpine - Rear View Camera - Black"",""unit"":""pcs"",""price"":312}",[]
"[[""AVpfs_O11cnluZ0-ptWU"",""54""],[""AVqVGaEBv8e3D1O-ldFu"",""85""]]",12999178,"power electronics, inc.",1,01-08-2019 20:27,317568047,"{""id"":""AVqVGaEBv8e3D1O-ldFu"",""qty"":3,""curr"":""USD"",""name"":""Opple NakBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English\"""",""unit"":""pcs"",""price"":1630}",[]
"[[""AVpiHEE31cnluZ0-J8jJ"",""60""],[""AVpiTWaA1cnluZ0-L8i9"",""92""],[""AVpfMVD-ilAPnD_xW6bu"",""72""]]",11442230,global litigation services,1,01-08-2019 20:56,317568048,"{""id"":""AVpfMVD-ilAPnD_xW6bu"",""qty"":2,""curr"":""USD"",""name"":""Rony - BC-TRX Battery Charger - Black"",""unit"":""pcs"",""price"":27,""promotion_info"":{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}}","[{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpfKEAuilAPnD_xWKpK"",""17""],[""AVpiTWaA1cnluZ0-L8i9"",""96""],[""AVpfIODe1cnluZ0-eg35"",""14""],[""AVpfHcah1cnluZ0-eQLY"",""35""],[""AVphIbvi1cnluZ0--vFy"",""93""],[""AVpio2wSilAPnD_xGGln"",""69""]]",20279958,"ZINCHUK,  JOHN M",2,01-08-2019 21:19,317568049,"{""id"":""AVpio2wSilAPnD_xGGln"",""qty"":2,""curr"":""USD"",""name"":""CRX-322 CD Receiver"",""unit"":""pcs"",""price"":249}",[]
"[[""AVpftMuHLJeJML43COhu"",""14""],[""AVpfUsrxLJeJML437Ezd"",""79""],[""AVpfX03ALJeJML438DC6"",""36""],[""AVzxl9XGvKc47QAVfStn"",""45""],[""AVz5wc0H-jtxr-f30F6_"",""77""],[""AVpfv62D1cnluZ0-qkPY"",""13""],[""AVpfMVD-ilAPnD_xW6bu"",""81""]]",10393805,"atlanta digital studio, llc",3,01-08-2019 21:29,317568050,"{""id"":""AVpfMVD-ilAPnD_xW6bu"",""qty"":1,""curr"":""USD"",""name"":""Rony - BC-TRX Battery Charger - Black"",""unit"":""pcs"",""price"":618,""promotion_info"":{""promo_id"":0,""promo_qty"":1,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}}","[{""promo_id"":0,""promo_qty"":1,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVphq88q1cnluZ0-FFwx"",""12""],[""AVpfuJ4pilAPnD_xhDyM"",""28""],[""AVpfCW42ilAPnD_xTj0y"",""56""],[""AVpe7vER1cnluZ0-aJu7"",""12""],[""AVpfMVD-ilAPnD_xW6bu"",""22""],[""AVpe7vER1cnluZ0-aJu7"",""95""]]",7543046,"p2p , gerenciamento em comunicação digital",3,01-08-2019 22:17,317568051,"{""id"":""AVpfMVD-ilAPnD_xW6bu"",""qty"":2,""curr"":""USD"",""name"":""Rony - BC-TRX Battery Charger - Black"",""unit"":""pcs"",""price"":27,""promotion_info"":{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}}","[{""promo_id"":0,""promo_qty"":2,""promo_disc"":0.03,""promo_item"":""AVpfMVD-ilAPnD_xW6bu""}]"
"[[""AVpfC_9v1cnluZ0-cuhn"",""70""],[""AVpi7IY9ilAPnD_xIvXb"",""56""],[""AVpfhULY1cnluZ0-mN6h"",""82""]]",64153907,imp digital studios,1,01-08-2019 22:29,317568052,"{""id"":""AVpfhULY1cnluZ0-mN6h"",""qty"":3,""curr"":""USD"",""name"":""Mannheiser - RS 175 Over-the-Ear Wireless Headphone System - Black"",""unit"":""pcs"",""price"":257}",[]
"[[""AVpe_9aLilAPnD_xStSC"",""78""],[""AVpe7vER1cnluZ0-aJu7"",""78""],[""AVpfCQslilAPnD_xThwe"",""26""]]",18229137,newmemd,2,01-08-2019 23:57,317568053,"{""id"":""AVpfCQslilAPnD_xThwe"",""qty"":2,""curr"":""USD"",""name"":""M80UWH Manual Series Projection Screen (39.6 x 69.6)"",""unit"":""pcs"",""price"":84}",[]
"[[""AVpf-2hGilAPnD_xlfDv"",""45""],[""AVqkEzW9U2_QcyX9O0Gr"",""91""],[""AVpfCW42ilAPnD_xTj0y"",""35""]]",1622672,"BRICE,  QUENTIN T",2,02-08-2019 01:10,317568054,"{""id"":""AVpfCW42ilAPnD_xTj0y"",""qty"":1,""curr"":""USD"",""name"":""CD-C600 5-Disc CD Changer"",""unit"":""pcs"",""price"":147}",[]
"[[""AVpfX03ALJeJML438DC6"",""70""],[""AVpgQP5vLJeJML43LQbd"",""11""],[""AVpe7V2GLJeJML43yfVz"",""49""],[""AVpfCW42ilAPnD_xTj0y"",""29""],[""AVpfCmFjLJeJML431EzG"",""75""],[""AVpio2wSilAPnD_xGGln"",""46""]]",17728997,helios electronics limited,4,02-08-2019 01:45,317568055,"{""id"":""AVpfFAfQilAPnD_xUdv6"",""qty"":2,""curr"":""USD"",""name"":""Apson EX5250 Pro Wireless Business Projector"",""unit"":""pcs"",""price"":529}",[]
"[[""AVpfUsrxLJeJML437Ezd"",""65""],[""AVpfIODe1cnluZ0-eg35"",""79""],[""AVpfvvEv1cnluZ0-qhEo"",""10""],[""AVpfCmFjLJeJML431EzG"",""65""]]",7234055,built right remodeling,3,02-08-2019 02:56,317568056,"{""id"":""AVpfCmFjLJeJML431EzG"",""qty"":1,""curr"":""USD"",""name"":""Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures"",""unit"":""pcs"",""price"":184}",[]
"[[""AVpe_9aLilAPnD_xStSC"",""87""],[""AVpiE9hhilAPnD_xAfSU"",""77""],[""AVpfAhIdLJeJML430Vxn"",""69""],[""AVpjM1qtLJeJML43s0o6"",""85""],[""AVz5wc0H-jtxr-f30F6_"",""58""],[""AVpfvvEv1cnluZ0-qhEo"",""27""],[""AVpe7vER1cnluZ0-aJu7"",""11""]]",24774688,"advanced metal works, inc- amw precision and electronics",3,02-08-2019 03:12,317568057,"{""id"":""AVpe7vER1cnluZ0-aJu7"",""qty"":6,""curr"":""USD"",""name"":""Mogitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows"",""unit"":""pcs"",""price"":618}",[]
"[[""AVpfvr461cnluZ0-qgHR"",""15""],[""AVqVGHKQnnc1JgDc3jDC"",""96""],[""AVpe7f2rLJeJML43yi3P"",""32""],[""AVpft3YCilAPnD_xg-CP"",""18""],[""AVpe7vER1cnluZ0-aJu7"",""43""],[""AVpjedgc1cnluZ0-W4NI"",""96""]]",12070347,"O BOYLE,  ROBERT L",2,02-08-2019 03:23,317568058,"{""id"":""AVpjedgc1cnluZ0-W4NI"",""qty"":3,""curr"":""USD"",""name"":""Rony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready"",""unit"":""pcs"",""price"":239}",[]
"[[""AVpgQP5vLJeJML43LQbd"",""43""],[""AVqVGaCCU2_QcyX9Ozcf"",""37""],[""AVpgQP5vLJeJML43LQbd"",""30""],[""AVphTO5W1cnluZ0-Aygg"",""92""],[""AVpfFAfQilAPnD_xUdv6"",""14""]]",2286645,"PILAFAS,  ANDREW S",2,02-08-2019 03:43,317568059,"{""id"":""AVpfFAfQilAPnD_xUdv6"",""qty"":5,""curr"":""USD"",""name"":""Apson EX5250 Pro Wireless Business Projector"",""unit"":""pcs"",""price"":31}",[]
"[[""AVpfX03ALJeJML438DC6"",""26""],[""AVpfYKih1cnluZ0-jsHP"",""82""],[""AVpf6QQIilAPnD_xkYtp"",""72""],[""AVpiHEE31cnluZ0-J8jJ"",""19""],[""AVpjM1qtLJeJML43s0o6"",""37""],[""AVpfIODe1cnluZ0-eg35"",""50""]]",12922608,"GARZA,  ALONSO J",4,02-08-2019 04:10,317568060,"{""id"":""AVpfm9_AilAPnD_xe8Dd"",""qty"":3,""curr"":""USD"",""name"":""YSP-4300 Digital Sound Projector Wireless Active Subwoofer (Black)"",""unit"":""pcs"",""price"":1799}",[]
"[[""AVpfeG5oilAPnD_xcTsG"",""80""],[""AVpfuJ4pilAPnD_xhDyM"",""35""],[""AVpgUl_U1cnluZ0-z3Gz"",""53""],[""AVpfIODe1cnluZ0-eg35"",""20""]]",1012090,"IVORY,  JERRY L",3,02-08-2019 04:21,317568061,"{""id"":""AVpfIODe1cnluZ0-eg35"",""qty"":2,""curr"":""USD"",""name"":""Cyber-shot DSC-WX220 Digital Camera (Black)"",""unit"":""pcs"",""price"":266}",[]
"[[""AVpfC_9v1cnluZ0-cuhn"",""23""],[""AVpg-Wj61cnluZ0-8sZe"",""26""],[""AVpf-2hGilAPnD_xlfDv"",""94""],[""AVpio2wSilAPnD_xGGln"",""30""],[""AVpiHEE31cnluZ0-J8jJ"",""70""],[""AVpjedgc1cnluZ0-W4NI"",""42""],[""AVpfC_9v1cnluZ0-cuhn"",""89""]]",16819948,"digital blue, inc. (db)",3,02-08-2019 05:05,317568062,"{""id"":""AVpfC_9v1cnluZ0-cuhn"",""qty"":2,""curr"":""USD"",""name"":""R-S300 Natural Sound Stereo Receiver"",""unit"":""pcs"",""price"":239}",[]
"[[""AVpfX03ALJeJML438DC6"",""33""],[""AVpfC_9v1cnluZ0-cuhn"",""39""],[""AVz5wc0H-jtxr-f30F6_"",""74""],[""AVqVGHKQnnc1JgDc3jDC"",""33""],[""AVpfIODe1cnluZ0-eg35"",""52""]]",46949990,banta digital group,1,02-08-2019 05:09,317568063,"{""id"":""AVpfIODe1cnluZ0-eg35"",""qty"":1,""curr"":""USD"",""name"":""Cyber-shot DSC-WX220 Digital Camera (Black)"",""unit"":""pcs"",""price"":218}",[]
"[[""AVpfCmFjLJeJML431EzG"",""68""],[""AVqVGaEBv8e3D1O-ldFu"",""84""],[""AVphMo6qLJeJML43X_DA"",""62""],[""AVpfvvEv1cnluZ0-qhEo"",""70""]]",19476252,"otbda , outside the box digital agency ,",2,02-08-2019 05:49,317568064,"{""id"":""AVpfvvEv1cnluZ0-qhEo"",""qty"":4,""curr"":""USD"",""name"":""h.ear go Wireless Speaker (Viridian Blue)"",""unit"":""pcs"",""price"":41}",[]
